,Date,Day,Min,Max,Range,Min_anomaly_Prophet,Max_anomaly_Prophet,Range_anomaly_Prophet,Min_anomaly_Calculated,Max_anomaly_Calculated,Range_anomaly_Calculated,Min_anomaly_SMA,Max_anomaly_SMA,Range_anomaly_SMA,Min_anomaly_EMA,Max_anomaly_EMA,Range_anomaly_EMA
0,2020-02-06,Thursday,11.53,14.48,2.950000000000001,,,,,,,,,,,,
1,2020-02-07,Friday,9.13,14.56,5.43,anomaly,,anomaly,anomaly,,anomaly,,,,,,
2,2020-02-08,Saturday,12.0,12.25,0.25,,,,,,,,,,,,
3,2020-02-09,Sunday,11.96,12.0,0.03999999999999915,,,,,,,,,,,,
4,2020-02-10,Monday,11.94,14.89,2.950000000000001,,,,,anomaly,,,,,,,
5,2020-02-11,Tuesday,9.21,14.7,5.489999999999998,anomaly,,anomaly,anomaly,,anomaly,,,,,,
6,2020-02-12,Wednesday,11.1,14.75,3.6500000000000004,,anomaly,,,,,,,,,anomaly,
7,2020-02-13,Thursday,11.29,12.41,1.120000000000001,,,,,,,,,,,,
8,2020-02-14,Friday,11.33,14.58,3.25,,,,,,,,,,,,
9,2020-02-15,Saturday,12.08,12.3,0.22000000000000064,,,,,,,,,,,,
10,2020-02-16,Sunday,12.02,12.08,0.0600000000000005,,,,,,,,,,,,
11,2020-02-17,Monday,11.99,14.89,2.9000000000000004,,anomaly,,,anomaly,,,,,,,
12,2020-02-18,Tuesday,11.39,14.79,3.3999999999999986,,,,,,,,,,,,
13,2020-02-19,Wednesday,12.28,14.64,2.360000000000001,,anomaly,,,,,,,,,,
14,2020-02-20,Thursday,11.41,12.58,1.17,,,,,,,,,,,,
15,2020-02-21,Friday,11.25,14.79,3.539999999999999,,anomaly,,,,,,,,,,
16,2020-02-22,Saturday,12.08,12.31,0.23000000000000043,,,,,,,,,,,,
17,2020-02-23,Sunday,12.05,12.47,0.41999999999999993,,,,,,,,,,,,
18,2020-02-24,Monday,12.1,14.48,2.380000000000001,,anomaly,,,,,,,,,,
19,2020-02-25,Tuesday,12.19,14.4,2.210000000000001,,,,,,,,,,,,
20,2020-02-26,Wednesday,11.41,12.61,1.1999999999999993,,,,,,,,,,,,
21,2020-02-27,Thursday,12.3,12.55,0.25,,,,,,,,,,,,
22,2020-02-28,Friday,12.19,12.56,0.370000000000001,,,,,,,,,,,,
23,2020-02-29,Saturday,8.65,12.17,3.5199999999999996,anomaly,,anomaly,anomaly,,,anomaly,,,,,
24,2020-03-01,Sunday,12.03,12.44,0.41000000000000014,,,,,,,,,,,,
25,2020-03-02,Monday,11.57,12.63,1.0600000000000005,,,,,,,,,,,,
26,2020-03-03,Tuesday,12.39,14.51,2.119999999999999,,,,,,,,anomaly,,,,
27,2020-03-04,Wednesday,12.35,14.61,2.26,,anomaly,,,,,,,,,,
28,2020-03-05,Thursday,12.35,12.53,0.17999999999999972,,,,,,,,,,,,
29,2020-03-06,Friday,11.43,12.53,1.0999999999999996,,,,,,,,,,,,
30,2020-03-07,Saturday,12.16,12.36,0.1999999999999993,,,,,,,,,,,,
31,2020-03-08,Sunday,12.1,12.44,0.33999999999999986,,,,,,,,,,,,
32,2020-03-09,Monday,11.3,14.3,3.0,,anomaly,,,,,,,,,,
33,2020-03-10,Tuesday,12.25,14.51,2.26,,,,,,,,,,,,
34,2020-03-11,Wednesday,12.35,12.5,0.15000000000000036,,,,,,,,,,,,
35,2020-03-12,Thursday,12.27,12.46,0.19000000000000128,,,,,,,,,,,,
36,2020-03-13,Friday,12.22,14.58,2.3599999999999994,,anomaly,,,,,,,,,,
37,2020-03-14,Saturday,12.24,12.49,0.25,,,,,,,,,,,,
38,2020-03-15,Sunday,11.58,12.47,0.8900000000000006,,,,,,,,,,,,
39,2020-03-16,Monday,12.17,12.31,0.14000000000000057,,,,,,,,,,,,
40,2020-03-17,Tuesday,9.07,12.55,3.4800000000000004,anomaly,,,anomaly,,,anomaly,,,,,
41,2020-03-18,Wednesday,12.08,12.31,0.23000000000000043,,,,,,,,,,,,
42,2020-03-19,Thursday,8.4,14.67,6.27,anomaly,anomaly,anomaly,anomaly,,anomaly,,,,,,
43,2020-03-20,Friday,11.3,12.46,1.1600000000000001,,,,,,,,,,,,
44,2020-03-21,Saturday,12.08,12.21,0.13000000000000078,,,,,,,,,,,,
45,2020-03-22,Sunday,8.49,12.58,4.09,anomaly,,anomaly,anomaly,,,,,,,,
46,2020-03-23,Monday,12.3,12.55,0.25,,,,,,,,,,,,
47,2020-03-24,Tuesday,12.14,12.28,0.1399999999999988,,,,,,,,,,,,
48,2020-03-25,Wednesday,12.11,12.17,0.0600000000000005,,,,,,,,,,,,
49,2020-03-26,Thursday,12.05,12.13,0.08000000000000007,,,,,,,,,,,,
50,2020-03-27,Friday,12.0,12.08,0.08000000000000007,,,,,,,,,,,,
51,2020-03-28,Saturday,9.77,12.38,2.610000000000001,anomaly,,anomaly,,,,,,,,,
52,2020-03-29,Sunday,11.86,12.11,0.25,,,,,,,,,,,,
53,2020-03-30,Monday,11.88,11.92,0.03999999999999915,,,,,,,,,,,,
54,2020-03-31,Tuesday,11.85,11.91,0.0600000000000005,,,,,,,,,,,,
55,2020-04-01,Wednesday,11.83,12.1,0.2699999999999996,,,,,,,,,,,,
56,2020-04-02,Thursday,11.82,12.38,0.5600000000000005,,,,,,,,,,,,
57,2020-04-03,Friday,11.88,12.17,0.28999999999999915,,,,,,,,,,,,
58,2020-04-04,Saturday,11.88,11.96,0.08000000000000007,,,,,,,,,,,,
59,2020-04-05,Sunday,11.77,11.88,0.11000000000000121,,,,,,,,,,,,
60,2020-04-06,Monday,11.74,11.83,0.08999999999999986,,,,,,,,,,,,
61,2020-04-07,Tuesday,11.55,14.54,2.9899999999999984,,anomaly,,,,,anomaly,anomaly,anomaly,,,
62,2020-04-08,Wednesday,11.88,12.05,0.16999999999999993,,,,,,,,,,,,
63,2020-04-09,Thursday,11.04,14.37,3.33,,anomaly,anomaly,,,,anomaly,,,,,
64,2020-04-10,Friday,11.99,12.14,0.15000000000000036,,,,,,,,,,,,
65,2020-04-11,Saturday,11.88,12.0,0.11999999999999922,,,,,,,,,,,,
66,2020-04-12,Sunday,11.8,11.88,0.08000000000000007,,,,,,,,,,,,
67,2020-04-13,Monday,11.77,11.83,0.0600000000000005,,,,,,,,,,,,
68,2020-04-14,Tuesday,11.71,12.91,1.1999999999999993,,,,,,,,,,,,
69,2020-04-15,Wednesday,11.75,11.94,0.1899999999999995,,,,,,,,,,,,
70,2020-04-16,Thursday,8.49,14.44,5.949999999999999,anomaly,anomaly,anomaly,anomaly,,anomaly,anomaly,anomaly,anomaly,,,
71,2020-04-17,Friday,11.83,11.97,0.14000000000000057,,,,,,,,,,,,
72,2020-04-18,Saturday,11.75,11.82,0.07000000000000028,,,,,,,,,,,,
73,2020-04-19,Sunday,11.69,11.75,0.0600000000000005,,,,,,,,,,,,
74,2020-04-20,Monday,11.63,11.69,0.05999999999999872,,,,,,,,,,,,
75,2020-04-21,Tuesday,11.53,11.61,0.08000000000000007,,,,,,,,,,,,
76,2020-04-22,Wednesday,11.5,12.0,0.5,,,,,,,,,,,,
77,2020-04-23,Thursday,11.8,11.97,0.16999999999999993,,,,,,,,,,,,
78,2020-04-24,Friday,11.69,11.78,0.08999999999999986,,,,,,,,,,,,
79,2020-04-25,Saturday,11.61,11.68,0.07000000000000028,,,,,,,,,,,,
80,2020-04-26,Sunday,11.53,11.63,0.10000000000000142,,,,,,,,,,,,
81,2020-04-27,Monday,11.46,11.53,0.06999999999999851,,,,,,,,,,,,
82,2020-04-28,Tuesday,11.32,11.46,0.14000000000000057,,,,,,,,,,,,
83,2020-04-29,Wednesday,11.33,11.99,0.6600000000000001,,,,,,,,,anomaly,,,
